ID_Credito,ID_Credito_original,ID_Tienda
12b2c4,2ac7576b-72f2-4d31-9b40-4118ff12b2c4,b2f899af-aec2-4e90-bb6b-8b1a05fed8c5
c3b19f,2af10bec-7f19-4d35-a70a-dd1f21c3b19f,0a6b9a42-79ba-46ef-a3cf-d3cf21bac7e5
3394f9,2ba2c376-7dbf-4cab-8dee-2095353394f9,f568c9a6-d154-4150-982e-3064257fc4ac
0ddaad,2bdcec6d-21ee-4101-90a7-4d79350ddaad,a2cac7be-849c-45ec-a701-7abd7c6b1869
9aa3dd,2c87f1c8-224c-4ab7-8e61-d52e769aa3dd,435083b7-08a4-486d-a6e6-f53e62960687
6dfc9f,2e38379c-688f-49e2-9b71-9ed2736dfc9f,3fe2db00-f22e-4eb3-b815-ae89d1edc6cb
8a40d8,2e3bfd2c-c685-464c-9895-8f176f8a40d8,fb2b4806-e765-4853-a184-96b226dc4fb4
ec7ecc,2fd2c60b-2be0-4719-9be9-934a49ec7ecc,fd02ea2a-771f-42a5-9f41-466c0e018426
a4bdf7,308db14d-3320-4ee5-8d2c-31ec76a4bdf7,b4662747-4141-49e3-afb4-87b6375152e1
2cd093,31186e76-90de-44b7-b296-e114c22cd093,f2ef11cf-e171-497f-a0b2-b682b1a92a05
d64fcd,317004b7-91eb-4775-8785-8e8e19d64fcd,97fa6ffa-3623-4fcc-9576-e579e9579db0
ebfbb5,31809c39-6ff9-4898-95cf-cdd581ebfbb5,8c1e0f3a-7dda-46ea-8e10-80b949ae152d
076aed,342e838a-530d-4a82-ac97-17acc5076aed,1fb0d79c-2dd2-4514-a080-4b297067dd8c
6046b9,35a71844-c48b-405d-a976-f21ade6046b9,9108cce4-3f51-4aad-9b50-7f0080345a4d
c396f4,3647dde2-ce9c-45bf-97b4-09c0a7c396f4,42a2ff75-cd1e-480f-bb31-f025e8af7a75
f7d994,366c9f54-3ba9-4a7e-b6a2-aacc03f7d994,e39d8908-c200-413b-9b65-a2c525cbb100
88c013,374e86a4-8b46-4a5e-bf44-941a4488c013,d7c9adc3-99c2-4690-9b21-3e405b8f6b86
97a779,37b78a44-f41d-4d95-89d0-fcc3dd97a779,5bdc09b3-6c45-4224-b34e-4e0595b2da08
68f2f6,3b2d68c8-0c83-42b7-a903-e2824968f2f6,2eb17f4f-6cb0-48d6-8574-ca2c7c479c10
09fe51,3b7ffc40-5308-453d-9c88-06643b09fe51,6ed63e44-63ef-41b3-9aec-cb90cab84e5d
