Fecha_reporte,OSTotal,Current,OS_30more,Castigos,LaggedWO,Current_pct,OS_30more_pct,CoincidentialWO,Num_Cuentas,reestructura,Corte
2021-08-31,3702373.68,3503327.7,100014.18000000001,0.0,0.0,0.9462382792219937,0.027013529331269447,0.0,370,0.0,Todos
2021-09-30,4532427.7,4192873.74,130005.51999999999,8760.67,0.0,0.9250834249380304,0.02868341838083815,0.0019328868720797623,463,0.0,Todos
2021-10-31,5750183.58,5078325.55,190209.32,28159.02,0.0,0.8831588555995284,0.03307882563290267,0.004897064521190649,552,0.0,Todos
2021-11-30,5746345.140000001,4677416.48,363577.99,45709.26,0.0,0.8139811247049459,0.0632711716999303,0.007954492618576068,646,0.0046439628482972135,Todos
2021-12-31,7928878.9799999995,6726796.13,434261.36,26339.9,0.0,0.8483918277688229,0.05476957853630905,0.00332202068746505,722,0.02077562326869806,Todos
2022-01-31,6758567.0600000005,5457381.57,518707.26,76482.93,0.020657809451583988,0.8074761294149236,0.07674811175136878,0.011316441683703117,787,0.036848792884371026,Todos
2022-02-28,7493200.28,6212788.75,663543.52,156137.54,0.03444898635669349,0.8291235410566125,0.08855275385752802,0.020837230310864138,903,0.04097452934662237,Todos
2022-03-31,12757189.33,11429624.1,863207.28,85117.7,0.014802605658722264,0.8959359153761183,0.06766437791826674,0.006672135828522134,1065,0.046948356807511735,Todos
2022-04-30,15524238.59,13728259.89,910497.25,192052.99,0.033421763803070076,0.8843113180985968,0.0586500423013661,0.012371169696115594,1249,0.05284227381905524,Todos
2022-05-31,18393350.52,16745896.01,1028944.1000000001,297347.04,0.037501775566260394,0.9104320603139356,0.05594109125910357,0.01616600736644029,1481,0.049966239027684,Todos
2022-06-30,19931969.490000002,17794317.62,991815.29,287971.62,0.04260838391385282,0.8927526017400099,0.04976002449219081,0.01444772530603826,1704,0.04636150234741784,Todos
2022-07-31,19465190.09,16693269.0,1462677.59,203459.09,0.02715249591593723,0.8575959917584345,0.07514324716260709,0.010452458417265602,1815,0.04628099173553719,Todos
2022-08-31,18675037.16,15366965.74,1687071.23,422122.52,0.03308899077066529,0.8228613206143682,0.0903383064540044,0.022603570551597982,1931,0.050750906266183324,Todos
2022-09-30,20878773.86,17280224.73,2046377.51,255650.54,0.016467831160793818,0.8276455718075392,0.09801234132433867,0.012244518845508373,2042,0.06023506366307542,Todos
2022-10-31,22976787.44,18883701.3,2611799.96,509630.46,0.02770732061273194,0.8218599466662428,0.11367124176172472,0.022180231302160586,2223,0.0620782726045884,Todos
2022-11-30,22809522.91,18597548.65,2893249.61,758476.08,0.03805324307668301,0.8153414134693096,0.12684393362438812,0.033252606071262514,2381,0.05879882402351953,Todos
2022-12-31,23394600.509999998,18896049.77,2979275.04,733180.01,0.037666213718439964,0.8077098714262252,0.12734883157019553,0.03133971061768247,2421,0.06278397356464271,Todos
2023-01-31,23014319.08,19106649.5,2800340.22,813540.85,0.0435630110414195,0.8302070303963128,0.12167816958936507,0.035349333915624434,2502,0.06314948041566747,Todos
2023-02-28,21630436.95,18243822.0,2231747.88,954110.4400000001,0.04569762795447987,0.8434328923715987,0.10317627356113118,0.04410962396206051,2587,0.0676459219172787,Todos
2023-03-31,20066365.02,16802681.9,1922134.19,910651.28,0.039633533729552556,0.8373555391448769,0.09578885802606615,0.045381975215337045,2680,0.07014925373134329,Todos
2021-08-16,2961511.5100000002,2783421.54,78927.17,0.0,0.0,0.9398651771574577,0.0266509752649923,0.0,324,0.0,Catorcenal
2021-08-30,3291181.1799999997,3070058.8,100014.18,0.0,0.0,0.9328136714734131,0.030388536677278886,0.0,362,0.0,Catorcenal
2021-09-13,3488645.93,3155817.69,99006.03,4322.280000000001,0.0,0.9045967270172356,0.028379500811078297,0.001238956342006198,403,0.0,Catorcenal
2021-09-27,4028973.99,3629762.16,130423.65,4438.39,0.0,0.9009147661437248,0.03237143012680506,0.0011016179332517815,453,0.0,Catorcenal
2021-10-11,3908604.75,3468170.5,115268.38,20600.26,0.0,0.8873167592604496,0.0294909276769415,0.005270489424633507,487,0.0,Catorcenal
2021-10-25,4191777.9099999997,3636887.34,143781.24,21935.56,0.007406879873987026,0.8676240531073365,0.03430077716116406,0.005232996707105524,527,0.0,Catorcenal
2021-11-08,4544236.84,3726843.15,202586.57,13095.36,0.003978924065189253,0.820125200604641,0.044580988432812406,0.002881751207309693,568,0.0,Catorcenal
2021-11-22,5270789.59,4349014.34,317981.37,15502.39,0.004443669638896245,0.8251162877476959,0.06032898194291228,0.002941189310493912,605,0.0049586776859504135,Catorcenal
2021-12-06,5468065.77,4427456.5,374730.46,17111.510000000002,0.0042471135436642415,0.8096933515852719,0.06853071556964832,0.003129353361813845,656,0.004573170731707317,Catorcenal
2021-12-20,6162580.37,4941504.67,474372.62,26339.9,0.0067389520518798774,0.8018564259308799,0.07697629751155684,0.004274167380953323,693,0.005772005772005772,Catorcenal
2022-01-03,6753448.13,5380731.76,468465.46,0.0,0.0,0.7967384447802074,0.069366855417012,0.0,722,0.02077562326869806,Catorcenal
2022-01-17,6718290.7,5326048.29,522755.58,23726.660000000003,0.005221263951550543,0.7927683584754676,0.0778108008931498,0.003531651287427126,747,0.02677376171352075,Catorcenal
2022-01-31,6758567.0600000005,5457381.57,518707.26,52756.270000000004,0.01000917777102916,0.8074761294149236,0.07674811175136878,0.007805836582158873,787,0.036848792884371026,Catorcenal
2022-02-14,7419216.17,6012676.64,647609.29,67024.51000000001,0.012257444006566857,0.8104193896267077,0.08728810094773125,0.009033907149238607,836,0.03708133971291866,Catorcenal
2022-02-28,7493200.28,6212788.75,663543.52,89113.03,0.014460343662828343,0.8291235410566125,0.08855275385752802,0.01189251944028928,903,0.04097452934662237,Catorcenal
2022-03-14,8514989.07,7089630.33,778376.72,26972.09,0.003993825003287611,0.8326059225346721,0.09141253307562965,0.0031676012474280628,973,0.0421377183967112,Catorcenal
2022-03-28,11910474.069999998,10265885.95,846518.47,43162.61,0.006424641613081723,0.86192085131671,0.07107344888413833,0.0036239204036958845,1036,0.04054054054054054,Catorcenal
2022-04-11,13492551.190000001,11949836.38,905284.28,41971.49,0.006210116675234991,0.8856617411877316,0.06709511546422378,0.00311071563923923,1114,0.04757630161579892,Catorcenal
2022-04-25,14398906.63,12639487.92,929825.78,95076.12,0.012814846989422585,0.8778088673528678,0.0645761378897142,0.00660300968976656,1195,0.052719665271966525,Catorcenal
2022-05-09,16395995.14,14649901.26,965224.3999999999,115160.40000000001,0.015368653672233067,0.8935048549910707,0.058869522206994256,0.007023690786476396,1315,0.05171102661596958,Catorcenal
2022-05-23,17561073.58,15594811.12,1034479.12,180922.61,0.021247544596084817,0.8880329012322264,0.05890751014096031,0.010302480037777792,1417,0.04940014114326041,Catorcenal
2022-06-06,18861425.5,16405481.26,1103894.09,109256.9,0.00917317810843443,0.8697901046768708,0.05852654615103191,0.00579261095615186,1525,0.04852459016393443,Catorcenal
2022-06-20,19625969.4,17493080.43,1093047.22,86873.59,0.00643863334492192,0.8913231277126112,0.055693922563641626,0.004426461094958996,1638,0.0463980463980464,Catorcenal
2022-07-04,19973244.42,17692985.17,1041489.01,171038.13,0.011878549836807983,0.885834309036108,0.05214420792633548,0.008563362386365589,1710,0.046198830409356725,Catorcenal
2022-07-18,19751391.45,17165539.93,1289239.71,74272.6,0.004529923274910166,0.8690800328399142,0.0652733612851362,0.003760373044500741,1757,0.04496300512236767,Catorcenal
2022-08-01,19401455.48,16771774.16,1455660.55,121750.22,0.006932959960868175,0.8644595853795192,0.0750284199812003,0.006275313732283824,1818,0.0462046204620462,Catorcenal
2022-08-15,18892313.779999997,15767113.78,1705155.39,203448.75,0.010786499143450206,0.8345782291998329,0.09025656729273317,0.010768863590190294,1878,0.045260915867944625,Catorcenal
2022-08-29,18667977.39,15429153.85,1753671.57,197447.6,0.010060527252223266,0.8265037785113795,0.09394009502815238,0.010576807324914714,1924,0.04677754677754678,Catorcenal
2022-09-12,19005541.64,15595621.18,1974750.7,118576.31,0.0059367575696047045,0.8205828318608235,0.1039039421977768,0.006239038710182091,1971,0.050735667174023336,Catorcenal
2022-09-26,19984733.23,16089143.17,2093242.5899999999,97731.21,0.004948067089217654,0.8050717007244234,0.10474208316464977,0.004890293449263676,2011,0.05668821481849826,Catorcenal
2022-10-10,21247204.47,17398481.66,2165620.23,223035.06,0.011495790108629514,0.8188598026891394,0.10192494890599602,0.01049714847498218,2072,0.060328185328185326,Catorcenal
2022-10-24,22143718.069999997,17922542.65,2624305.78,226471.1,0.01198747292879231,0.8093736830167293,0.11851242739381572,0.010227329452262023,2163,0.061488673139158574,Catorcenal
2022-11-07,23061941.92,18832694.17,2640327.19,283670.79,0.01519558247118703,0.8166135460460825,0.11448850227613441,0.012300386107289138,2250,0.06133333333333333,Catorcenal
2022-11-21,23131077.849999998,18331356.27,2958030.82,302326.7,0.015907291974447502,0.7924990088604973,0.12788123576351199,0.01307015185199722,2351,0.05869842620161633,Catorcenal
2022-12-05,22614833.93,18306930.83,2900228.44,369886.76,0.018508466224845362,0.8095098503338866,0.1282445163637777,0.016355935274375746,2388,0.059463986599664995,Catorcenal
2022-12-19,23044472.970000003,18720084.85,3037908.23,365248.77,0.017190438888829495,0.8123459744282449,0.1318280628051178,0.015849734141255196,2410,0.06016597510373444,Catorcenal
